userid,placeid,datetime,id,created_at,lng,lat,photos_count,checkins_count,users_count,radius_meters,highlights_count,items_count,max_items_count,spot_categories,geometry,index_right,NAME
2257457,7047366,2011-03-15T15:24:47Z,7047366,2011-03-10T07:48:00Z,145.72424715,15.12188875,0,4,3,250,0,0,10,"[{'url': '/categories/224', 'name': 'Terminal'}]",POINT (145.72424715 15.12188875),35.0,Commonwealth of the Northern Mariana Islands
2257457,7047366,2011-03-13T10:32:06Z,7047366,2011-03-10T07:48:00Z,145.72424715,15.12188875,0,4,3,250,0,0,10,"[{'url': '/categories/224', 'name': 'Terminal'}]",POINT (145.72424715 15.12188875),35.0,Commonwealth of the Northern Mariana Islands
2426604,7047366,2011-05-19T15:40:03Z,7047366,2011-03-10T07:48:00Z,145.72424715,15.12188875,0,4,3,250,0,0,10,"[{'url': '/categories/224', 'name': 'Terminal'}]",POINT (145.72424715 15.12188875),35.0,Commonwealth of the Northern Mariana Islands
2257457,7063833,2011-03-14T22:52:35Z,7063833,2011-03-13T00:07:52Z,145.694494112,15.12835048,2,4,2,100,0,0,10,"[{'url': '/categories/48', 'name': 'Resort'}]",POINT (145.694494112 15.12835048),35.0,Commonwealth of the Northern Mariana Islands
2257457,7063833,2011-03-13T00:09:49Z,7063833,2011-03-13T00:07:52Z,145.694494112,15.12835048,2,4,2,100,0,0,10,"[{'url': '/categories/48', 'name': 'Resort'}]",POINT (145.694494112 15.12835048),35.0,Commonwealth of the Northern Mariana Islands
2426604,7063833,2011-05-19T01:29:03Z,7063833,2011-03-13T00:07:52Z,145.694494112,15.12835048,2,4,2,100,0,0,10,"[{'url': '/categories/48', 'name': 'Resort'}]",POINT (145.694494112 15.12835048),35.0,Commonwealth of the Northern Mariana Islands
2426604,7063833,2011-05-17T10:54:06Z,7063833,2011-03-13T00:07:52Z,145.694494112,15.12835048,2,4,2,100,0,0,10,"[{'url': '/categories/48', 'name': 'Resort'}]",POINT (145.694494112 15.12835048),35.0,Commonwealth of the Northern Mariana Islands
170774,1600864,2010-08-12T08:01:49Z,1600864,2010-08-12T08:01:33Z,145.70153409,15.15660381,0,1,1,100,0,0,10,"[{'url': '/categories/48', 'name': 'Resort'}]",POINT (145.70153409 15.15660381),35.0,Commonwealth of the Northern Mariana Islands
170774,1596225,2010-08-11T11:52:37Z,1596225,2010-08-11T11:52:15Z,145.701305866,15.155668902,0,3,3,75,0,0,10,"[{'url': '/categories/47', 'name': 'Modern Hotel'}]",POINT (145.701305866 15.155668902),35.0,Commonwealth of the Northern Mariana Islands
443125,1596225,2010-09-04T06:49:57Z,1596225,2010-08-11T11:52:15Z,145.701305866,15.155668902,0,3,3,75,0,0,10,"[{'url': '/categories/47', 'name': 'Modern Hotel'}]",POINT (145.701305866 15.155668902),35.0,Commonwealth of the Northern Mariana Islands
