uid,t,d,x,y
134,20,1,184,24
189,3,1,95,41
189,1,2,95,41
189,39,3,95,41
189,19,4,96,41
189,39,4,95,41
189,23,5,95,41
189,22,6,95,41
189,43,6,95,41
189,1,7,95,41
189,23,7,95,41
189,41,7,95,41
189,45,7,97,40
189,1,8,95,41
189,20,8,95,41
189,23,8,95,41
189,41,8,96,41
189,19,9,95,41
189,21,9,95,41
189,22,9,96,40
189,41,9,95,41
189,22,10,95,41
189,39,10,95,41
189,24,11,96,41
189,0,12,95,41
189,22,12,85,34
189,39,12,89,37
189,43,12,84,33
189,1,13,87,32
189,5,13,86,32
189,7,13,87,32
189,19,14,85,34
189,23,14,95,37
189,35,14,86,32
189,39,14,88,37
189,20,15,96,41
189,37,15,96,41
288,1,1,108,62
288,22,1,107,62
288,21,2,107,62
288,1,3,107,62
288,3,4,107,62
288,45,4,107,62
288,0,5,107,62
288,2,5,108,62
288,3,5,107,62
288,43,5,107,62
341,9,1,95,41
341,15,1,95,41
341,17,1,95,41
341,22,1,96,41
341,2,2,95,41
341,5,2,96,41
341,7,2,95,41
341,11,2,95,41
341,35,2,96,41
341,37,2,96,41
341,19,3,96,41
341,41,4,96,41
341,4,5,95,41
341,23,5,96,41
341,23,6,96,41
341,0,7,96,41
341,22,7,95,41
341,0,8,96,41
341,4,8,96,41
341,8,8,95,41
341,33,8,95,41
341,37,8,96,41
341,3,9,96,41
341,41,9,96,41
341,8,10,95,41
341,11,10,95,41
341,19,10,95,41
341,21,10,95,41
341,31,10,95,41
341,35,10,96,41
341,37,10,96,41
341,33,11,96,41
341,21,12,95,41
341,23,12,96,41
341,24,12,96,41
341,41,12,95,41
341,19,13,96,41
341,20,14,96,41
341,31,14,95,41
341,43,14,96,41
341,6,15,95,41
341,41,15,96,41
468,4,1,95,41
468,11,1,95,41
468,18,1,95,41
468,21,1,95,41
468,35,1,95,41
468,1,2,88,37
468,3,2,89,37
468,35,2,95,41
468,39,2,95,41
862,17,1,95,41
862,19,1,95,41
862,22,1,100,40
862,1,2,100,40
862,22,2,102,39
862,43,2,102,39
862,3,3,100,40
862,4,4,87,32
862,21,4,86,32
862,31,4,87,32
862,43,4,86,32
862,3,5,87,32
862,5,6,95,41
862,11,6,95,41
862,21,6,95,41
862,45,6,95,41
862,1,7,96,40
862,5,7,95,41
862,2,8,95,41
862,3,8,95,41
862,11,8,95,41
862,3,9,95,41
862,39,9,95,41
862,2,10,95,41
862,3,10,95,41
862,9,10,95,41
990,17,1,199,8
990,22,1,199,8
990,0,2,184,25
1293,24,1,95,41
1293,35,2,96,40
1293,43,2,89,37
1293,22,3,96,41
1293,23,3,98,43
1293,24,4,101,54
1293,7,5,107,62
1293,21,6,107,62
1368,35,1,178,31
1368,2,2,178,31
1368,3,2,178,31
1368,18,2,183,25
1368,35,2,183,25
1368,37,2,183,25
1368,43,2,184,25
1368,20,3,199,8
1468,5,1,95,41
1468,9,1,95,41
1502,23,1,199,8
1502,29,1,199,8
1502,43,1,199,8
1620,0,1,96,41
1620,6,1,95,41
1620,19,1,95,41
1620,23,2,96,40
1620,41,2,95,41
1620,5,3,95,41
1620,14,3,95,41
1620,22,3,95,41
1620,23,3,96,41
1620,2,4,95,41
1620,3,4,96,41
1620,14,4,95,41
1620,17,4,95,41
1620,22,4,95,41
1620,23,4,95,41
1620,9,5,96,41
1620,14,5,95,41
1620,17,5,95,41
1620,23,5,95,41
1620,24,5,95,41
1620,37,5,95,41
1620,39,5,95,41
1620,5,6,95,41
1620,14,6,95,41
1620,17,6,95,41
1620,21,6,95,41
1620,23,6,95,41
1620,1,7,95,41
1620,14,7,95,41
1620,17,7,95,41
1620,20,7,95,41
1620,23,7,95,41
1620,37,7,95,41
1620,39,7,95,41
1620,41,7,95,41
1620,1,8,95,41
1620,2,8,95,41
1620,17,8,95,41
1620,23,8,95,41
1620,43,8,95,41
1620,45,8,95,41
1620,1,9,95,41
1620,20,9,95,41
1620,39,9,95,41
1620,1,10,95,41
1620,4,10,95,41
1620,27,10,95,41
1620,37,10,95,41
1620,41,10,95,41
1620,2,11,95,41
1620,13,11,96,41
1620,17,11,95,41
1620,20,11,95,41
1620,23,11,95,41
1620,41,11,95,41
1620,45,11,95,41
1620,17,12,95,41
1620,23,12,95,41
1620,3,13,95,41
1620,17,13,95,41
1620,23,13,95,41
1620,17,14,95,41
1620,23,14,95,41
1620,24,14,95,41
1620,43,14,95,41
1620,17,15,95,41
1620,45,15,95,41
1686,39,1,95,41
1686,45,1,95,41
1686,3,2,95,41
1686,13,2,95,41
2128,0,1,184,25
2128,7,1,184,25
2314,17,1,95,41
2314,19,1,95,41
2314,22,1,100,40
2314,22,2,102,39
2314,43,2,102,39
2314,2,3,100,40
2314,3,3,100,40
2314,23,3,85,34
2314,4,4,87,32
2314,21,4,86,32
2314,31,4,87,32
2314,43,4,86,32
2314,5,5,95,41
2314,11,5,95,41
2314,21,5,95,41
2314,0,6,96,40
2314,5,6,95,41
2314,2,7,95,41
2314,3,7,95,41
2314,3,8,95,41
2314,39,8,95,41
2314,41,8,95,41
2314,3,9,95,41
2314,6,9,95,41
2314,9,9,95,41
2423,16,1,199,8
2423,19,1,192,16
2423,20,1,192,16
2423,23,1,192,16
2423,33,1,195,14
2423,43,1,192,16
2423,35,2,192,16
2423,20,3,192,16
2423,20,4,182,25
2423,39,4,183,25
2886,4,1,95,41
2886,5,1,95,41
2886,24,1,95,41
2886,5,2,95,41
2886,0,3,95,41
2886,5,3,95,41
2970,0,1,183,25
2970,7,1,184,25
2970,9,1,184,25
3144,21,1,184,25
3144,35,1,183,25
3144,21,2,178,17
3198,24,1,95,41
3198,43,2,95,41
3198,7,3,95,41
3198,35,3,95,41
3198,20,4,96,41
3198,31,5,95,41
3198,31,6,95,41
3198,17,7,96,41
3198,7,8,95,41
3198,39,8,95,41
3198,3,9,95,41
3198,21,9,96,41
3198,41,9,96,41
3198,3,10,95,41
3198,35,11,95,41
3198,3,12,95,41
3198,43,12,96,41
3198,19,13,95,41
3198,1,14,96,41
3198,4,15,95,41
3198,6,15,95,41
4232,21,1,95,41
4232,37,1,95,41
4232,43,1,95,41
4232,24,2,94,47
4232,45,2,94,47
4232,1,3,94,47
4232,3,3,94,47
4232,21,3,95,41
4232,24,3,95,41
4232,43,3,95,41
4232,5,4,95,41
4232,7,4,95,41
4232,20,4,88,37
4232,43,4,88,37
4232,5,5,88,37
4232,21,5,98,35
4232,22,5,98,35
4232,24,5,98,35
4232,19,6,89,37
4232,23,6,87,32
4232,24,6,87,32
4232,41,6,84,33
4232,0,7,87,32
4232,1,7,87,32
4232,3,7,87,32
4232,11,7,88,37
4232,39,7,84,33
4232,24,8,95,41
4232,2,9,95,41
4232,3,9,95,41
4232,5,9,95,41
4232,8,9,95,41
4232,15,9,95,41
4243,11,1,95,41
4243,15,2,95,41
4906,15,1,95,41
5049,19,1,96,41
5049,3,2,96,41
5049,5,2,96,41
5049,6,2,96,41
5049,13,2,96,41
5049,0,3,96,41
5049,3,3,96,41
5049,5,3,96,41
5049,17,3,96,41
5049,18,3,96,41
5049,2,4,97,41
5049,19,5,96,41
5049,24,5,96,41
5049,0,6,96,41
5049,1,6,96,41
5049,3,6,96,41
5049,5,6,96,41
5049,1,7,96,41
5049,5,7,96,41
5049,1,8,96,41
5049,4,9,96,41
5049,4,10,95,41
5049,5,10,96,41
5049,20,10,96,41
5049,21,10,96,41
5049,22,10,95,41
5049,41,10,96,41
5049,1,11,96,41
5049,3,11,96,41
5049,21,11,96,41
5049,6,12,96,41
5049,35,12,96,41
5049,39,12,96,41
5049,1,13,96,41
5049,43,14,96,41
5049,45,14,96,41
5049,5,15,96,41
5049,24,15,96,41
5675,35,1,183,25
6223,1,1,95,41
6223,4,1,95,41
6223,45,1,95,41
6223,1,2,96,41
6223,6,3,96,41
6223,5,4,96,41
6223,23,5,95,41
6223,22,6,96,41
6223,45,7,96,41
6223,43,8,96,41
6223,9,9,96,41
6223,4,10,95,41
6223,39,11,96,41
6223,45,11,96,41
6223,6,12,95,41
6223,39,13,96,41
6223,19,14,96,41
6223,13,15,96,41
6338,6,1,183,25
6338,20,1,183,25
6338,8,2,183,25
6758,1,1,95,41
6758,2,1,96,41
6758,3,1,97,42
6758,7,1,97,42
6758,15,1,97,42
6758,24,2,101,39
6758,37,2,97,42
6758,0,3,100,40
6758,1,3,99,40
6758,3,3,97,42
6758,4,3,96,41
6758,23,3,97,42
6758,24,3,97,42
6758,41,3,97,42
6758,0,4,97,42
6758,5,4,97,42
6758,20,4,96,41
6758,21,4,97,42
6758,1,5,97,42
6758,2,5,96,41
6758,37,5,97,42
6758,39,5,96,41
6758,43,5,97,42
6758,0,6,97,42
6758,1,6,97,42
6758,3,6,97,42
6758,4,6,97,42
6758,7,6,97,42
6758,0,7,97,42
6758,1,7,96,41
6758,3,7,97,42
6758,5,7,97,42
6758,39,7,97,42
6758,1,8,97,42
6758,2,8,96,41
6758,3,8,97,42
6758,9,8,96,41
6758,23,9,96,41
6758,43,9,97,42
6758,0,10,96,41
6758,3,10,96,41
6758,20,10,97,42
6758,21,10,97,42
6758,23,10,97,42
6758,7,11,97,42
6758,21,11,97,42
6758,1,12,97,42
6758,2,12,97,42
6758,5,12,97,42
6758,9,12,97,42
6758,22,12,97,42
6758,2,13,96,41
6758,5,13,97,42
6758,0,14,97,42
6758,1,14,97,42
6758,4,14,97,42
6758,24,14,96,41
6758,43,14,95,41
6758,45,14,97,42
6758,3,15,95,41
6758,5,15,97,42
6758,8,15,95,41
6758,23,15,95,41
6758,37,15,97,42
6758,39,15,97,42
6758,41,15,97,42
7350,7,1,95,41
7350,39,2,95,41
7436,45,1,96,41
7436,22,2,97,42
7436,3,3,96,41
7436,6,4,96,41
7436,3,5,96,41
7436,7,6,97,42
7436,3,7,96,41
7436,4,8,100,40
7436,5,9,97,42
7436,7,9,97,42
7436,39,10,95,41
7436,11,11,96,41
7436,45,12,96,41
7436,2,13,97,42
7436,3,14,96,41
7436,21,15,97,42
7436,41,15,96,41
8334,41,1,183,25
8334,2,2,183,25
8334,33,2,178,31
8828,41,1,183,25
8828,2,2,183,25
8828,29,2,178,31
8828,0,3,199,8
9032,23,1,95,41
9032,24,1,95,41
9032,3,2,110,61
9032,19,3,108,62
9032,21,3,108,62
9032,10,4,109,62
9032,4,5,108,62
9032,17,6,108,62
9032,21,7,107,62
9032,1,8,135,53
9032,3,8,135,53
9032,20,8,110,61
9032,22,8,108,62
9032,39,8,108,62
9032,20,9,108,62
9032,23,9,109,62
9032,37,9,108,62
