uid,t,d,x,y
60,0,1,26,6
60,3,1,31,15
60,15,1,24,14
60,16,1,24,14
60,29,1,24,14
60,1,2,51,17
60,13,2,33,12
60,24,2,32,9
60,37,2,39,14
60,1,3,31,15
60,3,4,26,6
60,15,4,24,14
60,16,4,24,14
60,20,4,33,12
60,29,4,24,14
60,31,4,24,14
60,33,4,24,14
60,35,4,26,15
60,39,4,39,14
60,1,5,24,14
60,18,5,50,18
60,23,5,30,12
60,24,5,24,12
60,45,5,24,12
60,3,6,31,15
60,13,6,32,18
120,14,1,151,94
120,16,1,20,4
120,27,1,111,74
120,29,1,49,14
137,39,1,19,4
137,22,2,107,95
137,21,3,107,95
137,33,4,107,95
137,21,5,108,95
137,43,5,107,95
137,41,6,107,95
137,5,7,107,95
143,2,1,169,50
145,20,1,107,95
145,45,1,128,80
145,27,2,111,69
145,27,3,119,78
145,37,4,75,55
145,1,5,114,74
145,33,5,107,95
145,17,6,107,95
145,33,6,128,80
145,17,7,75,60
145,31,7,75,55
145,18,8,114,74
145,11,9,107,95
151,29,1,8,1
151,33,1,11,1
159,29,1,9,1
209,23,1,151,94
209,24,1,163,105
209,41,1,64,20
270,17,1,93,46
270,19,1,32,11
270,33,1,87,32
270,35,1,32,12
270,39,2,110,66
270,18,3,27,7
270,33,3,22,5
270,35,3,26,7
278,21,1,84,30
289,41,1,134,88
289,33,2,101,56
289,22,3,181,36
289,18,4,49,14
289,0,5,83,30
289,1,5,19,4
289,31,6,15,4
324,13,1,169,37
324,25,1,167,37
324,35,2,168,38
324,21,3,188,33
324,35,4,107,95
369,29,1,183,38
385,24,1,19,4
395,11,1,51,49
395,41,2,51,47
395,3,3,169,50
395,22,3,54,54
395,24,3,33,45
395,39,3,169,50
395,23,4,51,47
395,2,5,84,30
395,23,6,51,47
395,22,7,25,38
395,39,7,51,47
395,23,8,102,78
395,35,9,53,49
395,37,9,52,50
395,22,10,52,48
395,39,11,46,43
395,41,11,44,42
395,9,12,67,60
395,18,13,82,31
395,21,14,53,49
395,45,15,53,49
467,35,1,108,28
483,1,1,84,30
524,43,1,41,13
524,22,2,27,7
524,43,2,45,13
524,4,3,9,1
524,5,3,23,6
564,13,1,82,30
564,14,1,56,17
564,1,2,139,30
564,2,2,168,36
564,13,3,168,36
564,25,3,168,36
564,15,4,168,36
564,27,4,168,36
564,25,5,168,36
642,0,1,31,14
642,21,1,31,14
706,21,1,167,52
706,20,2,168,54
706,0,3,169,50
706,3,3,167,52
706,16,3,168,54
706,3,4,168,54
706,35,5,168,54
706,17,6,168,54
706,19,7,169,50
706,23,8,138,30
706,33,8,168,54
706,25,9,167,52
736,15,1,64,30
758,22,1,92,83
758,17,2,92,83
758,19,2,147,91
776,35,1,105,95
776,19,2,109,94
825,25,1,108,28
825,15,2,31,14
845,20,1,133,28
917,3,1,72,56
940,37,1,110,75
946,17,1,82,31
946,25,1,82,31
946,13,2,82,31
946,23,2,20,5
946,29,2,82,31
950,22,1,72,56
1005,18,1,24,29
1005,4,2,31,26
1005,5,2,31,14
1005,16,2,34,30
1005,18,2,31,38
1005,31,2,31,41
1005,33,2,32,41
1005,9,3,31,26
1005,23,4,31,26
1005,45,4,31,26
1005,2,5,32,43
1005,3,5,32,43
1005,6,5,31,26
1005,9,5,31,41
1005,18,5,31,32
1005,19,5,32,41
1005,31,5,31,26
1005,35,5,31,38
1005,37,5,31,26
1005,1,6,32,41
1005,5,6,31,26
1005,22,6,31,26
1005,24,6,31,26
1005,43,6,36,12
1005,0,7,27,40
1005,19,7,31,26
1005,20,7,32,17
1005,21,7,31,14
1005,22,7,43,14
1005,24,7,32,41
1005,37,7,31,26
1005,39,7,32,16
1005,41,7,36,12
1005,0,8,31,26
1005,15,9,31,26
1005,18,9,32,16
1005,20,9,19,6
1005,21,9,24,28
1005,22,9,24,28
1005,35,9,19,6
1005,39,9,19,12
1005,43,9,31,26
1005,23,10,30,26
1005,23,11,30,26
1005,39,11,27,40
1005,2,12,30,26
1005,3,12,32,18
1005,3,13,30,26
1005,1,14,32,16
1005,18,14,24,28
1005,19,14,24,28
1005,22,14,24,39
1005,23,14,31,26
1005,2,15,31,26
1016,5,1,126,84
1041,24,1,52,30
1041,39,2,69,22
1041,33,3,49,31
1041,4,4,69,22
1041,5,5,69,22
1041,20,5,69,22
1041,21,6,51,32
1041,45,7,32,9
1111,22,1,35,39
1111,21,2,55,17
1111,7,3,56,18
1305,1,1,61,21
1305,1,2,59,23
1305,20,3,80,26
1305,17,4,59,23
1305,0,5,61,20
1305,0,6,61,20
1305,18,7,48,14
1305,0,8,49,18
1305,14,9,56,21
