uid,t,d,x,y
1,17,1,199,54
1,5,2,199,54
1,20,3,199,54
1,1,4,199,54
1,2,4,199,54
1,8,5,199,54
1,24,6,199,54
1,10,7,199,54
1,6,8,199,54
1,24,8,199,54
1,19,9,182,52
1,20,9,182,52
1,21,9,182,52
1,37,9,182,52
1,43,9,182,52
1,45,10,199,54
1,24,11,199,54
1,19,12,199,54
1,5,13,199,54
1,33,13,199,53
1,22,14,199,54
1,11,15,199,54
6,3,1,118,68
15,11,1,199,54
24,24,1,198,53
24,0,2,198,53
24,9,3,199,54
24,3,4,198,52
24,19,5,199,52
24,20,5,199,54
24,0,6,182,52
24,3,6,182,52
24,1,7,199,55
24,1,8,199,54
24,0,9,195,51
24,3,10,197,54
24,6,10,197,54
24,1,11,197,53
24,22,12,195,51
24,1,13,195,51
24,2,14,169,38
24,4,15,199,50
24,7,15,198,50
24,9,15,195,50
25,2,1,147,29
25,3,2,198,51
25,24,3,198,53
25,43,3,195,53
25,0,4,198,53
25,0,5,199,53
25,2,6,199,54
25,39,7,199,52
25,16,8,199,53
25,33,8,198,54
25,1,9,195,49
25,1,10,198,51
25,3,10,198,52
25,20,11,199,54
25,31,11,199,52
25,19,12,196,52
25,2,13,199,53
25,3,14,199,55
25,23,15,182,52
26,3,1,195,53
26,19,1,196,53
26,3,2,196,53
26,45,2,197,54
26,2,3,199,54
26,9,4,199,54
26,41,4,196,52
26,0,5,195,53
26,1,5,195,53
26,39,6,196,52
26,3,7,199,54
26,22,8,196,54
26,31,9,197,51
26,16,10,198,54
26,39,10,196,54
26,1,11,198,54
26,2,11,198,54
26,16,12,196,54
26,0,13,195,53
26,1,13,197,54
26,24,14,197,51
26,31,15,198,52
28,3,1,198,54
28,5,1,198,54
28,24,1,199,51
28,2,2,190,62
28,37,3,198,50
28,19,4,196,52
28,3,5,199,49
28,19,5,129,19
28,2,6,129,18
28,3,7,199,54
28,21,8,198,51
28,45,8,198,51
28,1,9,196,54
28,17,10,198,53
28,2,11,199,52
28,1,12,198,54
28,24,13,199,54
28,2,14,199,54
28,0,15,199,51
66,31,1,126,18
66,17,2,58,53
66,25,2,127,16
66,22,3,126,6
66,41,3,124,19
66,16,4,127,16
66,20,4,33,56
66,33,4,119,47
66,3,5,73,50
66,31,6,129,19
66,18,7,73,50
66,22,7,124,19
66,20,8,127,9
66,39,8,127,16
66,0,9,27,63
66,18,10,73,50
66,17,11,126,6
66,18,11,126,18
66,19,11,126,18
66,20,11,9,62
66,37,11,9,62
76,45,1,199,54
94,22,1,126,6
94,23,1,127,18
94,43,1,127,16
94,5,2,124,18
94,16,2,126,17
94,23,2,129,18
94,11,3,124,17
94,21,3,127,16
97,19,1,27,63
97,43,2,126,18
97,45,2,127,18
97,1,3,127,18
97,13,3,126,18
97,23,3,126,18
97,27,3,126,18
97,1,4,126,18
97,5,4,126,18
97,22,4,126,18
97,23,4,126,18
97,25,4,126,18
97,45,4,129,19
97,16,5,126,18
97,24,5,126,18
97,33,5,126,18
97,1,6,127,18
97,21,7,27,63
106,1,1,197,49
106,5,1,194,49
106,33,2,194,49
106,37,3,199,53
106,20,4,195,51
106,5,5,198,49
106,5,6,194,49
107,20,1,199,54
116,23,1,197,51
116,41,1,198,51
116,0,2,198,52
116,23,2,198,51
151,24,1,127,11
151,0,2,127,12
151,1,3,119,49
151,24,3,119,49
151,2,4,119,48
151,3,4,119,48
151,5,4,119,48
151,23,4,119,48
151,43,4,119,47
151,4,5,119,48
151,35,5,119,49
151,37,5,119,48
151,3,6,119,48
151,16,6,119,48
151,18,6,119,47
151,27,6,119,48
151,29,6,119,49
151,37,6,120,48
151,1,7,119,48
151,20,7,120,48
151,43,7,119,49
151,31,8,119,49
151,24,9,127,16
151,1,10,119,48
151,3,10,119,48
151,18,10,81,49
151,19,10,73,50
151,29,10,119,47
151,31,10,119,50
151,39,10,27,63
151,3,11,127,21
151,20,11,119,50
151,21,11,130,51
151,22,11,146,58
151,35,11,118,48
151,37,11,119,49
151,39,11,130,51
151,1,12,168,55
151,2,12,168,54
151,3,12,171,54
151,5,12,199,55
151,23,12,199,55
151,43,12,199,55
151,16,13,199,55
151,19,14,126,19
151,20,14,116,43
151,37,14,122,32
151,11,15,119,48
151,18,15,120,48
151,22,15,119,48
156,0,1,195,51
156,4,2,198,51
156,2,3,195,51
156,3,3,195,51
156,2,4,195,51
156,18,4,197,53
156,19,4,198,50
156,27,4,195,50
156,39,4,198,53
156,16,5,195,51
156,19,5,198,52
156,24,5,195,51
156,37,5,198,52
156,43,5,198,51
156,2,6,198,51
156,3,6,198,51
156,22,6,198,53
156,24,6,183,52
156,29,6,195,51
156,45,6,194,52
156,0,7,182,52
156,1,7,182,52
156,4,7,183,52
156,29,8,195,51
156,3,9,195,51
156,3,10,195,51
156,18,10,198,50
156,19,10,198,53
156,3,11,195,51
156,5,11,195,51
156,19,11,198,50
156,20,11,198,51
156,45,11,198,51
156,3,12,196,50
156,19,12,198,52
156,35,12,198,53
156,19,13,196,53
156,29,13,198,53
156,35,13,197,53
156,39,14,198,51
156,3,15,195,51
156,19,15,198,50
158,5,1,129,18
158,17,1,125,18
158,18,1,129,18
158,22,1,129,18
158,0,2,126,18
158,4,2,129,18
158,35,3,127,9
158,37,4,27,63
159,3,1,119,48
159,5,1,119,48
159,4,2,119,48
159,19,2,119,48
159,35,2,119,49
159,16,3,119,49
159,18,3,119,47
159,1,4,119,48
159,43,4,119,49
159,3,5,127,21
159,20,5,119,50
159,21,5,130,51
159,22,5,146,58
159,23,5,146,58
159,24,5,147,58
159,35,5,118,48
159,39,5,130,51
159,45,5,146,58
159,1,6,168,55
159,2,6,168,54
159,3,6,171,54
159,4,6,199,55
159,5,6,199,55
159,23,6,199,55
159,43,6,199,55
159,16,7,199,55
159,24,8,119,48
159,45,8,119,48
159,19,9,118,36
159,20,9,129,19
159,21,9,128,19
159,24,9,126,18
159,37,9,128,17
159,45,9,129,18
159,0,10,126,18
159,37,10,119,47
159,39,10,124,30
159,45,10,128,17
159,21,11,126,6
181,37,1,147,29
181,18,2,196,52
181,33,2,196,52
181,3,3,168,54
181,39,4,193,56
181,33,5,199,54
181,7,6,199,54
181,15,7,199,54
181,41,8,170,54
181,23,9,169,55
181,31,9,169,55
181,15,10,170,55
181,33,11,169,54
181,0,12,170,54
181,2,13,170,54
181,1,14,182,52
181,16,14,182,52
181,31,14,182,52
181,37,14,182,52
181,1,15,182,52
181,3,15,182,52
181,18,15,182,52
202,22,1,199,51
202,31,1,195,49
202,33,1,195,49
202,16,2,197,50
202,17,2,195,49
202,20,2,198,51
202,22,2,198,50
202,31,2,195,49
202,39,2,198,51
202,41,2,199,52
246,5,1,199,55
246,3,2,196,53
246,4,3,196,53
246,7,3,199,54
246,2,4,196,53
246,1,5,198,53
246,2,5,196,53
246,21,5,199,54
246,0,6,198,54
246,2,7,195,51
246,43,8,199,54
246,3,9,196,53
246,2,10,197,53
246,17,11,199,54
246,5,12,199,54
246,21,13,199,54
246,23,13,198,54
246,3,14,196,53
246,24,15,199,54
282,37,1,198,53
282,11,2,198,54
282,23,2,198,54
282,0,3,198,53
282,2,4,198,54
282,18,5,182,52
282,37,5,182,52
282,39,5,182,52
282,22,6,198,52
282,19,7,111,28
284,31,1,199,55
288,5,1,197,53
288,25,2,198,51
288,15,3,199,55
288,3,4,193,56
288,2,5,198,54
330,43,1,137,25
330,43,2,157,37
330,25,3,27,63
330,20,4,27,63
335,22,1,127,9
360,27,1,197,50
360,22,2,199,53
370,41,1,118,68
370,7,2,129,19
370,11,2,129,19
370,18,3,199,54
430,24,1,199,54
430,45,2,199,53
485,33,1,198,12
485,37,1,188,9
485,0,2,192,56
485,7,3,73,50
485,9,3,73,50
485,15,3,73,50
485,3,4,73,50
515,24,1,193,56
604,45,1,169,54
604,0,2,168,54
604,0,3,171,54
604,1,4,170,55
604,1,5,169,53
604,5,6,169,54
604,2,7,168,54
604,33,8,170,52
604,1,9,198,51
604,22,9,171,52
604,43,10,171,53
604,3,11,123,19
604,18,11,129,18
604,31,11,129,19
604,2,12,168,54
604,3,12,169,54
604,43,12,169,54
604,39,13,171,52
604,29,14,171,52
604,3,15,169,54
646,20,1,147,58
646,27,1,147,58
646,29,1,146,58
646,0,2,147,58
662,35,1,198,54
664,5,1,199,54
664,0,2,196,52
664,3,3,196,52
664,43,4,197,54
664,2,5,199,54
664,39,6,194,49
664,25,7,194,49
664,21,8,194,49
665,3,1,54,19
665,19,2,196,51
665,2,3,129,18
665,43,4,199,54
665,2,5,199,54
665,6,6,185,68
665,17,6,182,52
665,18,7,199,54
665,20,8,127,18
801,18,1,156,38
801,33,1,156,38
801,37,1,194,56
801,41,1,193,56
801,17,2,193,56
801,1,3,194,56
801,20,3,193,56
801,1,4,193,56
847,24,1,198,52
847,37,2,182,52
847,31,3,198,52
847,24,4,198,51
847,35,5,199,56
847,3,6,198,52
847,17,7,196,52
847,1,8,199,51
847,1,9,198,54
847,23,10,198,52
847,24,11,193,46
847,0,12,198,51
847,0,13,198,52
847,0,14,191,58
847,0,15,197,51
865,1,1,186,74
865,20,2,198,55
865,3,3,196,52
865,17,4,197,55
865,29,5,186,74
865,25,6,186,74
865,24,7,196,53
865,1,8,198,52
865,1,9,199,53
865,2,9,198,52
865,33,10,193,56
865,5,11,197,54
865,33,11,198,55
865,45,11,197,54
865,22,12,197,54
865,41,12,197,54
865,18,13,198,55
865,23,14,197,54
865,13,15,197,54
880,18,1,199,49
880,20,2,199,53
917,6,1,127,9
917,5,2,127,9
917,31,2,135,13
917,0,3,169,70
917,2,3,157,39
938,22,1,195,51
938,41,1,198,53
938,0,2,199,51
938,6,3,195,51
938,11,3,195,51
938,18,3,195,51
938,24,4,195,51
938,24,5,196,51
938,43,5,195,51
938,45,5,196,51
938,7,6,195,51
938,20,6,196,52
938,35,6,195,51
938,7,7,195,51
938,33,7,195,51
938,19,8,156,38
938,33,8,195,51
956,3,1,199,51
956,17,2,197,53
956,18,2,199,51
956,31,2,194,48
964,0,1,181,52
964,4,1,183,52
964,5,1,186,51
964,9,1,182,52
964,23,2,180,52
964,35,3,182,52
964,24,4,182,52
964,1,5,182,52
964,2,5,182,52
964,1,6,182,52
964,3,6,182,52
964,0,7,183,52
964,1,7,182,52
964,3,7,182,52
964,19,7,182,52
964,5,8,181,52
964,19,8,182,52
964,22,8,180,52
964,3,9,181,52
964,35,9,182,52
964,1,10,181,52
964,1,11,182,52
964,5,11,180,52
964,1,12,182,52
964,35,12,182,52
964,43,12,181,52
964,3,13,182,52
964,21,13,180,52
964,39,14,182,51
964,3,15,180,52
964,31,15,182,52
964,39,15,182,52
1048,24,1,128,18
1086,22,1,127,9
1086,24,1,119,50
1086,41,1,126,1
1086,1,2,146,59
1086,3,2,147,58
1086,5,2,147,58
1086,7,2,147,58
1086,9,2,146,58
1086,13,2,146,58
1086,23,2,146,58
1086,31,2,146,59
1086,37,2,146,58
1086,9,3,118,48
1139,23,1,126,18
1139,4,2,126,18
1139,4,3,128,19
1139,11,4,124,17
1139,12,5,124,17
1139,0,6,129,19
1139,7,7,124,17
1139,23,8,128,19
1139,4,9,128,19
1139,5,10,129,18
1139,7,11,128,19
1139,37,11,110,28
1139,4,12,128,19
1139,24,13,128,19
1139,17,14,199,52
1139,19,14,199,53
1139,4,15,128,19
1150,18,1,198,51
1150,31,2,196,50
1150,19,3,198,51
1150,33,3,196,51
1150,17,4,198,51
1150,24,4,182,52
1150,0,5,182,52
1150,3,5,182,52
1150,4,5,182,52
1150,22,6,197,53
1150,43,6,198,51
1150,45,6,193,56
1150,21,7,195,51
1150,22,7,198,51
1150,39,7,195,51
1150,2,8,197,50
1150,3,8,199,52
1150,19,8,198,50
1150,39,9,196,50
1150,19,10,197,51
1150,35,10,198,51
1150,14,11,197,50
1150,29,12,197,50
1150,1,13,193,56
1150,5,13,198,51
1150,20,13,198,51
1150,37,13,198,52
1150,39,13,197,51
1150,23,14,196,50
1150,2,15,198,51
1150,24,15,196,53
1150,45,15,197,51
1172,9,1,196,0
1179,3,1,182,52
1179,4,1,182,52
1179,6,1,182,52
1179,15,1,182,52
1179,16,1,183,51
1243,24,1,146,58
1243,45,1,146,58
1243,1,2,182,52
1243,13,2,182,52
1243,25,2,182,52
1317,5,1,182,51
1317,19,2,182,52
1317,23,3,182,52
1317,20,4,182,52
1317,3,5,182,52
1317,3,6,182,52
1317,21,6,180,52
1317,20,7,182,52
1317,0,8,182,52
1317,14,8,182,51
1317,19,8,182,51
1317,1,9,182,51
1317,14,9,182,52
1317,3,10,182,52
1317,0,11,180,52
1317,4,11,182,52
1317,37,12,182,52
1317,7,13,182,52
1317,21,13,180,52
1317,2,14,180,52
1317,23,15,182,52
1317,25,15,182,52
1337,0,1,198,52
1337,3,1,198,51
1338,41,1,198,51
1338,0,2,198,52
1344,20,1,197,50
1344,39,2,197,51
1344,16,3,198,51
1344,31,3,198,50
1353,24,1,87,49
1356,17,1,197,11
1356,18,1,197,9
1356,33,1,197,12
1360,5,1,126,18
1360,33,1,126,18
1360,23,2,126,18
1360,41,3,126,18
1364,21,1,199,54
1364,0,2,126,18
1364,3,2,126,6
1399,41,1,54,20
1456,35,1,199,54
1456,35,2,199,54
1456,41,2,199,54
1456,1,3,199,54
1456,2,3,198,54
1456,3,4,199,54
1456,37,4,199,54
1456,2,5,199,54
1456,15,6,199,53
1456,24,7,199,54
1456,41,8,199,53
1456,1,9,199,54
1456,17,9,199,53
1456,35,10,199,54
1456,24,11,198,52
1456,0,12,186,74
1456,16,13,171,54
1456,17,13,168,55
1456,20,13,149,56
1456,21,13,146,58
1456,22,13,154,58
1456,31,13,171,54
1456,39,13,150,57
1456,41,13,147,58
1456,19,14,190,40
1456,39,15,182,34
1456,41,15,178,24
1491,0,1,58,75
1491,1,1,49,33
1491,14,1,58,53
1491,20,1,198,56
1491,37,1,171,54
1491,39,1,199,56
1496,29,1,126,0
1496,31,1,127,9
1496,35,1,105,49
1496,37,1,78,49
1520,24,1,58,75
1520,0,2,58,75
1520,1,2,59,63
1520,3,2,58,53
1520,18,2,159,55
1520,19,2,176,53
1520,20,2,195,56
1520,23,2,58,53
1520,31,2,115,50
1520,37,2,175,53
1567,22,1,199,51
1567,31,1,195,49
1567,33,1,195,49
1567,41,1,199,51
1567,16,2,197,51
1567,31,2,194,56
1567,23,3,194,49
1567,43,3,195,49
1567,16,4,198,51
1567,22,4,198,51
1567,23,4,198,52
1567,24,4,199,52
1567,29,4,198,50
1567,31,4,198,51
1567,33,4,195,50
1567,41,4,198,51
1567,43,4,198,51
1567,21,5,198,51
1567,23,5,198,51
1567,31,5,197,53
1567,35,5,195,49
1567,43,5,198,51
1567,45,5,194,49
1567,0,6,194,49
1567,1,6,195,49
1567,17,6,194,49
1567,19,6,196,52
1567,33,6,196,52
1567,35,6,196,52
1567,37,6,198,51
1567,39,6,199,51
1567,18,7,193,56
1567,19,7,193,56
1567,21,7,193,56
1567,33,7,193,56
1567,37,7,193,56
1567,39,7,194,56
1567,0,8,194,49
1602,22,1,169,38
1602,39,2,127,9
1626,6,1,8,26
1648,20,1,196,52
1648,39,1,196,52
1648,43,1,196,52
1696,0,1,182,52
1696,3,1,182,52
1696,18,1,193,56
1696,43,1,193,56
1741,2,1,197,49
1741,35,2,195,50
1741,29,3,197,51
1741,19,4,197,50
1741,3,5,194,56
1755,11,1,119,50
1755,14,1,169,54
1755,45,2,27,63
1755,1,3,137,51
1755,7,4,33,56
1755,9,4,171,54
1838,18,1,199,53
1838,17,2,199,53
1838,33,2,199,53
1869,18,1,168,54
1869,39,1,127,9
1917,19,1,199,53
1917,19,2,199,56
1917,35,3,182,52
1917,29,4,198,50
1917,18,5,198,50
1917,18,6,197,50
1917,1,7,195,51
1917,18,8,198,52
1917,31,9,126,18
1917,14,10,199,54
1917,20,11,182,52
1917,33,11,182,52
1917,39,11,182,52
1917,20,12,199,54
1917,29,13,197,51
1917,22,14,182,52
1917,23,14,182,52
1917,43,14,182,52
1917,3,15,119,49
1917,25,15,119,49
2045,11,1,127,9
2045,15,2,119,50
2057,7,1,127,16
2057,11,1,127,9
2057,6,2,33,57
2057,7,2,67,52
2057,8,2,118,50
2057,11,2,58,54
2057,13,2,96,49
2057,15,2,119,50
2088,5,1,197,53
2088,9,1,197,53
2088,11,1,197,53
2088,37,2,199,52
2088,4,3,198,52
2088,19,4,198,52
2088,37,4,199,52
2088,4,5,194,56
2088,1,6,198,51
2088,8,7,172,54
2088,41,7,169,53
2088,5,8,198,52
2088,7,9,197,53
2088,21,9,198,53
2088,33,9,197,53
2088,39,9,198,53
2088,0,10,198,53
2088,1,10,198,54
2088,2,10,196,52
2088,5,10,198,53
2088,7,10,197,53
2088,20,10,197,53
2088,15,11,198,52
2088,23,12,198,52
2088,1,13,198,51
2088,4,13,198,51
2088,33,13,199,53
2088,35,14,199,53
2088,2,15,198,51
2091,18,1,156,38
2094,33,1,128,18
2094,6,2,182,52
2094,17,2,182,52
2094,1,3,182,52
2094,5,3,182,52
2094,7,3,182,52
2094,17,3,182,52
2094,45,4,199,54
2094,16,5,127,18
2094,15,6,127,18
2094,1,7,148,36
2094,3,8,127,18
2094,1,9,182,52
2094,35,10,199,54
2094,1,11,126,18
2179,27,1,9,62
2179,15,2,111,27
2213,24,1,198,52
2213,23,2,196,53
2213,37,3,199,54
2213,23,4,198,52
2213,19,5,199,54
