uid,t,d,x,y
11,19,1,107,47
46,0,1,138,71
50,7,1,25,16
59,27,1,142,72
59,33,1,141,71
59,31,2,142,72
59,4,3,142,72
59,19,3,142,72
59,0,4,140,71
59,19,4,140,70
59,2,5,142,72
59,43,6,140,71
59,17,7,142,72
72,21,1,88,12
72,39,1,88,12
72,41,1,88,12
72,45,1,88,12
97,29,1,14,12
110,1,1,108,49
110,14,1,107,48
110,31,1,112,51
110,15,2,108,49
110,5,3,107,47
110,3,4,108,48
110,2,5,108,48
110,4,5,107,49
110,6,5,108,48
110,35,6,107,47
110,35,7,107,47
110,41,7,110,49
110,14,8,108,48
110,27,9,107,47
110,14,10,108,48
110,18,10,109,49
110,24,10,110,49
110,29,10,107,48
110,17,11,108,48
110,20,12,108,48
110,37,13,109,48
110,1,14,107,47
110,20,14,107,49
110,24,14,108,48
110,33,14,111,48
110,3,15,108,48
110,31,15,108,48
110,37,15,107,47
111,21,1,88,12
111,39,1,88,12
111,41,1,88,12
119,27,1,107,48
119,19,2,138,71
200,43,1,138,71
200,17,2,114,51
200,13,3,109,43
202,5,1,25,16
214,1,1,85,4
214,2,1,85,4
214,11,1,191,52
214,9,2,104,31
217,16,1,125,60
217,17,1,130,61
217,25,1,99,16
217,27,1,108,47
217,29,1,124,60
217,5,2,108,45
217,12,2,90,14
217,23,2,84,4
218,13,1,90,14
218,15,1,110,49
218,17,1,138,69
218,25,1,103,22
218,27,1,110,48
218,29,1,123,58
218,5,2,108,47
246,1,1,61,5
294,0,1,138,71
341,20,1,147,29
341,35,1,153,3
341,39,1,141,48
341,41,1,138,69
341,3,2,144,42
341,18,3,131,46
341,19,3,107,48
341,20,3,109,48
341,21,3,111,48
341,22,3,143,43
341,29,3,153,3
341,31,3,147,29
341,33,3,131,46
341,35,3,108,47
341,37,3,107,48
341,39,3,111,48
341,41,3,131,46
341,43,3,144,43
341,45,3,153,18
341,0,4,153,12
341,17,5,138,71
341,18,5,138,71
341,33,5,138,71
341,37,5,139,71
341,39,5,138,71
341,35,6,138,71
341,22,7,133,46
341,23,7,107,47
341,24,7,107,49
341,45,7,107,49
341,0,8,112,48
341,1,8,112,48
341,4,8,153,18
341,22,9,164,3
341,24,9,159,10
341,43,9,164,3
341,1,10,153,12
614,9,1,89,12
642,16,1,102,19
685,23,1,138,71
758,43,1,138,71
758,1,2,143,41
758,18,3,115,36
758,19,3,109,41
758,35,4,109,41
758,19,5,138,71
758,1,6,143,41
758,20,7,139,42
758,37,8,141,41
758,17,9,139,42
776,3,1,84,4
776,5,1,88,12
876,14,1,142,43
876,21,1,142,43
876,45,1,142,43
876,1,2,110,48
876,33,2,113,50
876,35,2,137,46
876,7,3,139,42
876,20,4,111,48
876,22,4,111,48
876,23,4,111,48
876,37,4,107,47
876,0,5,107,49
876,1,5,107,49
876,15,5,113,48
876,22,5,113,48
876,33,5,111,48
876,15,6,111,47
876,16,6,110,48
876,19,6,113,47
876,31,7,111,48
876,16,8,113,48
876,31,9,113,47
876,24,10,113,47
876,31,10,112,50
876,41,10,113,48
876,23,11,107,47
876,18,12,107,47
876,37,12,113,47
876,19,13,111,48
876,35,13,111,48
876,37,13,113,48
876,23,14,110,49
876,39,14,112,50
876,41,14,112,50
876,0,15,111,47
876,2,15,112,47
876,5,15,111,48
876,19,15,109,47
876,21,15,111,47
1007,1,1,138,71
1007,33,2,139,43
1007,43,3,138,71
1007,3,4,138,71
1007,19,4,138,71
1036,23,1,88,13
1036,45,2,88,13
1036,41,3,88,13
1036,43,3,88,13
1036,16,4,88,13
1036,0,5,138,71
1036,20,6,143,72
1036,45,6,138,71
1036,14,7,138,71
1043,15,1,90,14
1043,18,1,88,12
1043,27,1,84,3
1043,33,1,89,13
1043,19,2,46,9
1043,35,2,60,5
1043,24,3,52,10
1043,33,3,45,9
1043,14,4,84,4
1043,25,4,84,4
1048,7,1,112,50
1048,18,1,107,49
1048,35,2,107,47
1048,31,3,138,71
1117,15,1,153,3
1117,14,2,141,49
1117,23,2,147,24
1120,15,1,153,3
1120,14,2,141,49
1120,23,2,147,24
1198,1,1,111,48
1198,2,2,101,17
1198,1,3,108,43
1198,27,4,110,48
1198,1,5,108,46
1198,15,6,142,72
1198,11,7,138,71
1198,2,8,138,71
1198,22,9,138,71
1198,5,10,138,71
1259,19,1,153,18
1259,20,1,178,22
1259,29,1,119,16
1259,21,2,178,21
1259,20,3,186,22
1259,39,3,178,22
1259,17,4,120,16
1259,35,4,84,4
1274,29,1,107,47
1333,1,1,138,71
1333,3,1,138,71
1361,19,1,144,43
1361,22,1,110,49
1361,31,2,111,47
1361,35,3,110,49
1387,1,1,142,72
1399,17,1,144,4
1399,19,1,164,3
1399,31,1,143,6
1399,37,1,164,3
1399,21,2,126,15
1399,39,2,124,10
1399,16,3,126,15
1399,17,3,135,32
1399,18,3,131,42
1399,19,3,136,43
1399,20,3,133,47
1399,21,3,132,47
1399,31,3,134,31
1399,35,3,131,41
1399,39,3,132,47
1399,41,3,131,42
1399,43,3,115,36
1399,45,3,115,37
1399,1,4,115,36
1399,18,4,115,37
1399,19,4,105,34
1399,21,4,89,12
1399,27,4,115,36
1399,35,4,109,41
1399,37,4,105,33
